,number,value,datetime_start,datetime_complete,duration,params_Tu,params_Tv,system_attrs_fail_reason,state
65,65,124818425.8750303,2022-01-14 10:31:58.398547,2022-01-14 10:32:01.977337,0 days 00:00:03.578790,7.939214383227033,7743960.374156479,,COMPLETE
66,66,185008582.68302083,2022-01-14 10:32:02.137033,2022-01-14 10:32:04.219858,0 days 00:00:02.082825,16.894897541300622,11478115.284398722,,COMPLETE
67,67,5672012.928081487,2022-01-14 10:32:04.355187,2022-01-14 10:32:05.858904,0 days 00:00:01.503717,28.426282218799326,351417.4778625022,,COMPLETE
68,68,69795420.71537934,2022-01-14 10:32:05.992080,2022-01-14 10:32:07.381745,0 days 00:00:01.389665,28.323762125923437,4329769.032659793,,COMPLETE
69,69,64903.85650474989,2022-01-14 10:32:07.544071,2022-01-14 10:32:11.420191,0 days 00:00:03.876120,21.3913599474548,3711.4738088310987,,COMPLETE
70,70,114679378.42271355,2022-01-14 10:32:11.582905,2022-01-14 10:32:12.598979,0 days 00:00:01.016074,38.50541485621671,7114204.495144928,,COMPLETE
71,71,229423561.58272702,2022-01-14 10:32:12.741698,2022-01-14 10:32:16.383006,0 days 00:00:03.641308,22.04821807053554,14233588.2450636,,COMPLETE
72,72,6480783.100827692,2022-01-14 10:32:16.533112,2022-01-14 10:32:18.155530,0 days 00:00:01.622418,26.814772840424247,401636.11918059527,,COMPLETE
73,73,523472.36410114623,2022-01-14 10:32:18.297417,2022-01-14 10:32:20.612452,0 days 00:00:02.315035,21.53574912564407,32165.264003716668,,COMPLETE
74,74,43587197.844499506,2022-01-14 10:32:20.767987,2022-01-14 10:32:21.925388,0 days 00:00:01.157401,32.76522471573841,2703644.0572611075,,COMPLETE
75,75,110000945.0606538,2022-01-14 10:32:22.054952,2022-01-14 10:32:23.378004,0 days 00:00:01.323052,21.108422197424304,6824385.8822531905,,COMPLETE
76,76,96080.5141244995,2022-01-14 10:32:23.671433,2022-01-14 10:32:26.605044,0 days 00:00:02.933611,12.862145928151094,5852.5559305164315,,COMPLETE
77,77,54351626.105051324,2022-01-14 10:32:26.765106,2022-01-14 10:32:29.135105,0 days 00:00:02.369999,13.30894846328629,3371972.193623993,,COMPLETE
78,78,164966752.93682605,2022-01-14 10:32:29.290510,2022-01-14 10:32:31.057363,0 days 00:00:01.766853,24.991402039264525,10234479.866868187,,COMPLETE
79,79,118178413.53517535,2022-01-14 10:32:31.196216,2022-01-14 10:32:33.048152,0 days 00:00:01.851936,16.328804961239506,7331846.948328398,,COMPLETE
